Entry	Entry name	Gene names
P05549	AP2A_HUMAN	TFAP2A AP2TF TFAP2
Q92481	AP2B_HUMAN	TFAP2B
Q92754	AP2C_HUMAN	TFAP2C
Q6VUC0	AP2E_HUMAN	TFAP2E
P35869	AHR_HUMAN	AHR BHLHE76
A9YTQ3	AHRR_HUMAN	AHRR BHLHE77 KIAA1234
P27540	ARNT_HUMAN	ARNT BHLHE2
Q9HBZ2	ARNT2_HUMAN	ARNT2 BHLHE1 KIAA0307
O00327	BMAL1_HUMAN	ARNTL BHLHE5 BMAL1 MOP3 PASD3
Q8WYA1	BMAL2_HUMAN	ARNTL2 BHLHE6 BMAL2 CLIF MOP9 PASD9
P50553	ASCL1_HUMAN	ASCL1 ASH1 BHLHA46 HASH1
Q99929	ASCL2_HUMAN	ASCL2 BHLHA45 HASH2
Q9NQ33	ASCL3_HUMAN	ASCL3 BHLHA42 HASH3 SGN1
Q6XD76	ASCL4_HUMAN	ASCL4 BHLHA44 HASH4
Q92858	ATOH1_HUMAN	ATOH1 ATH1 BHLHA14
Q8N100	ATOH7_HUMAN	ATOH7 ATH5 BHLHA13
Q96SQ7	ATOH8_HUMAN	ATOH8 ATH6 BHLHA21
Q7RTS1	BHA15_HUMAN	BHLHA15 BHLHB8 MIST1
Q8NFJ8	BHE22_HUMAN	BHLHE22 BHLHB5 TNRC20
Q8NDY6	BHE23_HUMAN	BHLHE23 BHLHB4
O14503	BHE40_HUMAN	BHLHE40 BHLHB2 DEC1 SHARP2 STRA13
Q9C0J9	BHE41_HUMAN	BHLHE41 BHLHB3 DEC2 SHARP1
Q99814	EPAS1_HUMAN	EPAS1 BHLHE73 HIF2A MOP2 PASD2
Q96RJ6	FER3L_HUMAN	FERD3L BHLHA31 NATO3 NTWIST
Q6QHK4	FIGLA_HUMAN	FIGLA BHLHC8
O96004	HAND1_HUMAN	HAND1 BHLHA27 EHAND
P61296	HAND2_HUMAN	HAND2 BHLHA26 DHAND
A6NFD8	HELT_HUMAN	HELT
A0A0B4J2D5	GAL3B_HUMAN	GATD3B HES1 KNPI
Q14469	HES1_HUMAN	HES1 BHLHB39 HL HRY
Q9Y543	HES2_HUMAN	HES2 BHLHB40
Q5TGS1	HES3_HUMAN	HES3 BHLHB43
Q9HCC6	HES4_HUMAN	HES4 BHLHB42
Q5TA89	HES5_HUMAN	HES5 BHLHB38
Q96HZ4	HES6_HUMAN	HES6 BHLHB41
Q9BYE0	HES7_HUMAN	HES7 BHLHB37
Q9Y5J3	HEY1_HUMAN	HEY1 BHLHB31 CHF2 HERP2 HESR1 HRT1
Q9UBP5	HEY2_HUMAN	HEY2 BHLHB32 CHF1 GRL HERP HERP1 HRT2
Q9NQ87	HEYL_HUMAN	HEYL BHLHB33 HRT3
Q16665	HIF1A_HUMAN	HIF1A BHLHE78 MOP1 PASD8
Q9Y2N7	HIF3A_HUMAN	HIF3A BHLHE17 MOP7 PASD7
P12980	LYL1_HUMAN	LYL1 BHLHA18
P61244	MAX_HUMAN	MAX BHLHD4
Q9BRJ9	MESP1_HUMAN	MESP1 BHLHC5
Q0VG99	MESP2_HUMAN	MESP2 BHLHC6 SCDO2
O75030	MITF_HUMAN	MITF BHLHE32
Q9UH92	MLX_HUMAN	MLX BHLHD13 TCFL4
Q9HAP2	MLXIP_HUMAN	MLXIP BHLHE36 KIAA0867 MIR MONDOA
Q9NP71	MLXPL_HUMAN	MLXIPL BHLHD14 MIO WBSCR14
Q99583	MNT_HUMAN	MNT BHLHD3 ROX
O60682	MUSC_HUMAN	MSC ABF1 BHLHA22
A6NI15	MSGN1_HUMAN	MSGN1
Q05195	MAD1_HUMAN	MXD1 MAD
Q9BW11	MAD3_HUMAN	MXD3 BHLHC13 MAD3
Q14582	MAD4_HUMAN	MXD4 BHLHC12 MAD4
P50539	MXI1_HUMAN	MXI1 BHLHC11
P01106	MYC_HUMAN	MYC BHLHE39
P12524	MYCL_HUMAN	MYCL BHLHE38 LMYC MYCL1
P04198	MYCN_HUMAN	MYCN BHLHE37 NMYC
P13349	MYF5_HUMAN	MYF5 BHLHC2
P23409	MYF6_HUMAN	MYF6 BHLHC4 MRF4
P15172	MYOD1_HUMAN	MYOD1 BHLHC1 MYF3 MYOD
P15173	MYOG_HUMAN	MYOG BHLHC3 MYF4
Q13562	NDF1_HUMAN	NEUROD1 BHLHA3 NEUROD
Q15784	NDF2_HUMAN	NEUROD2 BHLHA1 NDRF
Q9HD90	NDF4_HUMAN	NEUROD4 ATH3 ATOH3 BHLHA4
